Title,Count,Unit price,Total price
"Натрия хлорид 0,9%, 200 мл, фл",2,154,308
"Борный спирт 3%, 20 мл, фл.",1,51,51
"Шприц 2 мл, 3-х комп. (Bioject)",2,16,32
Система для инфузии Vogt Medical,2,60,120
Naturella прокладки Классик макси №8,1,310,310
AURA Ватные диски №150,1,461,461
Чистая линия скраб мягкий 50 мл,1,381,381
Чистая линия  скраб очищающийабрикос 50 мл,1,386,386
Чистая линия скраб мягкий 50 мл,1,381,381
Carefree салфетки Алоэвоздухопроницаемые №20,1,414,414
Pro Series Шампунь яркий цвет 500мл,1,841,841
Pro Series бальзам-ополаскивательдля длител ухода за окрашеннымиволосами Яркий цвет 500мл,1,841,841
Clear шампунь Актив спорт 2в1мужской  400 мл,1,1 200,1 200
"Bio World (HYDRO THERAPY)Мицеллярная вода 5в1, 445мл",1,1 152,1 152
"Bio World (HYDRO THERAPY) Гель-муссдля умывания с гиалуроновойкислотой, 250мл",1,1 152,1 152
"[RX]-Натрия хлорид 0,9%, 100 мл, фл.",1,168,168
"[RX]-Дисоль р-р 400 мл, фл.",1,163,163
"Тагансорбент с иономи серебра №30,пор.",1,1 526,1 526
"[RX]-Церукал 2%, 2 мл, №10, амп.",2,396,792
"[RX]-Андазол 200 мг, №40, табл.",1,7 330,7 330
